Vegetarian,No meat or animal products.,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Soy-whey-protein-diet.jpg/1280px-Soy-whey-protein-diet.jpg
Seafood,Made with fish;shellfish;or other seafood.,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Plateau_van_zeevruchten.jpg/800px-Plateau_van_zeevruchten.jpg
Grilled,Cooked on an open flame or grill for smoky flavor. Includes meats;veggies;and fruits.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Japanese_food_by_Naoki_Nakashima_129.jpg/800px-Japanese_food_by_Naoki_Nakashima_129.jpg
Spicy,For those who love heat. Uses chili peppers;cumin;and ginger.,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Madame_Jeanette_and_other_chillies.jpg/1024px-Madame_Jeanette_and_other_chillies.jpg
Salad,Primarily veggies;fruits;and healthy ingredients.,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Salad_platter.jpg/1280px-Salad_platter.jpg
Mediterranean,Inspired by Greece and Italy. Includes olive oil;feta cheese;and fresh herbs.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Roasted_chicken_with_pilav_and_fries.jpg/1280px-Roasted_chicken_with_pilav_and_fries.jpg
Barbecue,Cooked over open flame with longer cooking time and smokier flavor.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/%D4%BD%D5%B8%D6%80%D5%B8%D5%BE%D5%A1%D5%AE.JPG/1024px-%D4%BD%D5%B8%D6%80%D5%B8%D5%BE%D5%A1%D5%AE.JPG
Soup,Liquid meals with broth or veggies as base.,https://upload.wikimedia.org/wikipedia/commons/0/0f/Hungarian_goulash_soup.jpg
Pasta,Includes spaghetti;fettuccine;or lasagna as primary ingredient.,https://upload.wikimedia.org/wikipedia/commons/6/6a/Japanese_food_by_Naoki_Nakashima_175.jpg
Chicken,Centered around chicken as main protein source.,https://upload.wikimedia.org/wikipedia/commons/d/d9/Max%27s_Roasted_Chicken_-_Evan_Swigart.jpg
Beef,Centered around beef as main protein source.,https://upload.wikimedia.org/wikipedia/commons/2/2b/Beef_fillet_steak_with_mushrooms.jpg
Rice,Based around rice;such as fried rice;biryani;or risotto.,https://upload.wikimedia.org/wikipedia/commons/1/15/Chaufa_salvaje_Selva_17042010.JPG
Pizza,Pizza crust base with various toppings.,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Pizza_with_pineapple.jpg/1280px-Pizza_with_pineapple.jpg
Sandwiches,Made with bread and various fillings;such as meat;cheese;veggies;and spreads.,https://upload.wikimedia.org/wikipedia/commons/b/bd/Club-sandwich2.jpg
Breakfast,Typically eaten in morning and includes eggs;bacon;toast;and cereal.,https://upload.wikimedia.org/wikipedia/commons/4/48/%C5%9Aniadanie.jpg
